id,latitude,longitude,name,display_name,zone,total_lines,rail
68,516.455,0.0838,Debden,NULL,6,1,0
69,51.474,-0.0216,Deptford Bridge,Deptford<br />Bridge,2.5,1,0
70,515.223,-0.0173,Devons Road,Devons<br />Road,2,1,0
71,51.552,-0.2387,Dollis Hill,Dollis<br />Hill,3,1,0
72,515.152,-0.3017,Ealing Broadway,Ealing<br />Broadway,3,2,1
73,515.101,-0.2882,Ealing Common,Ealing<br />Common,3,2,0
74,51.492,-0.1973,Earl's Court,Earl's<br />Court,1.5,2,0
75,515.765,-0.397,Eastcote,NULL,5,2,0
76,515.168,-0.2474,East Acton,East<br />Acton,2,1,0
77,515.874,-0.165,East Finchley,East<br />Finchley,3,1,0
78,515.394,0.0518,East Ham,East<br />Ham,3.5,2,0
79,515.093,-0.0021,East India,East<br />India,2.5,1,0
80,514.586,-0.2112,East Putney,East<br />Putney,2.5,1,0
81,516.137,-0.275,Edgware,NULL,5,1,0
82,515.199,-0.1679,Edgware Road (B),Edgware<br />Road,1,1,0
83,515.203,-0.17,Edgware Road (C),Edgware<br />Road,1,3,0
84,514.943,-0.1001,Elephant & Castle,Elephant &<br />Castle,1.5,2,1
85,515.496,0.1977,Elm Park,Elm<br />Park,6,1,0
86,514.693,-0.0174,Elverson Road,Elverson<br />Road,2.5,1,0
87,515.074,-0.1223,Embankment,NULL,1,4,0
88,516.937,0.1139,Epping,NULL,6,1,0
89,515.282,-0.1337,Euston,NULL,1,2,1
90,51.526,-0.1359,Euston Square,Euston<br />Square,1,3,0
91,51.596,0.0912,Fairlop,NULL,4,1,0
92,515.203,-0.1053,Farringdon,NULL,1,3,1
93,516.012,-0.1932,Finchley Central,Finchley<br />Central,4,1,0
94,515.472,-0.1803,Finchley Road,Finchley<br />Road,2,2,0
95,515.642,-0.1065,Finsbury Park,Finsbury<br />Park,2,1,1
96,514.804,-0.195,Fulham Broadway,Fulham<br />Broadway,2,1,0
97,515.096,0.0716,Gallions Reach,Gallions<br />Reach,3,1,0
98,515.765,0.0663,Gants Hill,Gants<br />Hill,4,1,0
99,514.945,-0.1829,Gloucester Road,Gloucester<br />Road,1,3,0
100,515.724,-0.1941,Golders Green,Golders<br />Green,3,1,0
101,515.018,-0.2267,Goldhawk Road,Goldhawk<br />Road,2,1,0
102,515.205,-0.1347,Goodge Street,Goodge<br />Street,1,1,0
103,516.132,0.0923,Grange Hill,Grange<br />Hill,4,1,0
104,515.238,-0.1439,Great Portland Street,Great<br />Portland<br />Street,1,3,0
105,515.423,-0.3456,Greenford,NULL,4,1,1
106,514.781,-0.0149,Greenwich,NULL,2.5,1,1
107,515.067,-0.1428,Green Park,Green<br />Park,1,3,0
108,514.915,-0.2754,Gunnersbury,NULL,3,1,0
109,51.603,0.0933,Hainault,NULL,4,1,0
110,514.936,-0.2251,Hammersmith,NULL,2,3,0
111,515.568,-0.178,Hampstead,NULL,2.5,1,0
112,515.302,-0.2933,Hanger Lane,Hanger<br />Lane,3,1,0
113,515.362,-0.2575,Harlesden,NULL,3,1,0
114,515.925,-0.3351,Harrow & Wealdstone,Harrow &<br />Wealdstone,5,1,1
115,515.793,-0.3366,Harrow-on-the-Hill,Harrow-<br />on-the-Hill,5,1,1
116,514.669,-0.4227,Hatton Cross,Hatton<br />Cross,5.5,1,0
117,514.713,-0.4524,Heathrow Terminals 1, 2 & 3 Heathrow<br />Terminals<br />1 2 & 3,6,1,0
118,514.598,-0.4476,Heathrow Terminal 4,Heathrow<br />Terminal 4,6,1,0
119,515.829,-0.2259,Hendon Central,Hendon<br />Central,3.5,1,0
120,515.033,-0.0215,Heron Quays,Heron<br />Quays,2,1,0
121,516.503,-0.1943,High Barnet,High<br />Barnet,5,1,0
122,515.009,-0.1925,High Street Kensington,High<br />Street<br />Kensington,1,2,0
123,51.546,-0.104,Highbury & Islington,Highbury &<br />Islington,2,1,1
124,515.777,-0.1458,Highgate,NULL,3,1,0
125,515.538,-0.4499,Hillingdon,NULL,6,2,0
126,515.174,-0.12,Holborn,NULL,1,2,0
127,515.075,-0.206,Holland Park,Holland<br />Park,2,1,0
128,515.526,-0.1132,Holloway Road,Holloway<br />Road,2,1,0
129,515.539,0.2184,Hornchurch,NULL,6,1,0
130,514.713,-0.3665,Hounslow Central,Hounslow<br />Central,4,1,0
131,514.733,-0.3564,Hounslow East,Hounslow<br />East,4,1,0
132,514.734,-0.3855,Hounslow West,Hounslow<br />West,5,1,0
133,515.027,-0.1527,Hyde Park Corner,Hyde<br />Park<br />Corner,1,1,0
134,515.619,-0.4421,Ickenham,NULL,6,2,0
135,514.871,-0.0101,Island Gardens,Island<br />Gardens,2,1,0
136,514.884,-0.1053,Kennington,NULL,2,1,0
137,515.304,-0.225,Kensal Green,Kensal<br />Green,2,1,0
138,514.983,-0.2106,Kensington (Olympia),Kensington<br />(Olympia),2,1,1
139,515.507,-0.1402,Kentish Town,Kentish<br />Town,2,1,1
140,515.816,-0.3162,Kenton,NULL,4,1,0
141,51.477,-0.285,Kew Gardens,Kew<br />Gardens,3.5,1,0
142,515.471,-0.2047,Kilburn,NULL,2,1,0
143,515.351,-0.1939,Kilburn Park,Kilburn<br />Park,2,1,0
144,515.846,-0.2786,Kingsbury,NULL,4,1,0
145,515.308,-0.1238,King's Cross St. Pancras,King's Cross<br />St. Pancras,1,6,1
146,515.015,-0.1607,Knightsbridge,NULL,1,1,0
147,515.172,-0.2107,Ladbroke Grove,Ladbroke<br />Grove,2,1,0
148,514.991,-0.1115,Lambeth North,Lambeth<br />North,1,1,0
149,515.119,-0.1756,Lancaster Gate,Lancaster<br />Gate,1,1,0
150,515.139,-0.2172,Latimer Road,Latimer<br />Road,2,1,0
151,515.113,-0.1281,Leicester Square,Leicester<br />Square,1,2,0
152,514.657,-0.0142,Lewisham,NULL,2.5,1,1
153,515.566,-0.0053,Leyton,NULL,3,1,0
154,515.683,0.0083,Leytonstone,NULL,3.5,1,0
155,515.123,-0.0396,Limehouse,NULL,2,1,1
156,515.178,-0.0823,Liverpool Street,Liverpool<br />Street,1,4,1
157,515.052,-0.0864,London Bridge,London<br />Bridge,1,2,1
158,516.412,0.0558,Loughton,NULL,6,1,0
159,51.53,-0.1854,Maida Vale,Maida<br />Vale,2,1,0
160,515.712,-0.0958,Manor House,Manor<br />House,2.5,1,0
161,515.122,-0.094,Mansion House,Mansion<br />House,1,2,0
162,515.136,-0.1586,Marble Arch,Marble<br />Arch,1,1,0
163,515.225,-0.1631,Marylebone,NULL,1,1,1
164,515.249,-0.0332,Mile End,Mile<br />End,2,3,0
165,516.082,-0.2103,Mill Hill East,Mill<br />Hill<br />East,4,1,0
166,515.108,-0.0863,Monument,NULL,1,2,0
167,515.186,-0.0886,Moorgate,NULL,1,4,1
168,516.294,-0.432,Moor Park,Moor<br />Park,6.5,1,0
169,514.022,-0.1948,Morden,NULL,4,1,0
170,515.342,-0.1387,Mornington Crescent,Mornington<br />Crescent,2,1,0
171,514.902,-0.0145,Mudchute,NULL,2,1,0
172,515.542,-0.2503,Neasden,NULL,3,1,0
173,515.756,0.0899,Newbury Park,Newbury<br />Park,4,1,0
174,514.767,-0.0327,New Cross,New<br />Cross,2,1,1
175,514.757,-0.0402,New Cross Gate,New<br />Cross<br />Gate,2,1,1
